cited_paper,citing_title,year,venue,doi,citing_paper_citations,self_citation,citing_authors,institutions,countries,source
NeurWIN (NeurIPS 2021),the Proceedings of the 21st USENIX Symposium on Networked Systems Design and Implementation.,,,,0,yes,Systems Design; Woo-Hyun Ko; Raini Wu; Srinivas Shakkottai; Ushasi Ghosh; Ujwal Dinesha; Dinesh Bharadia,,,SemanticScholar
Realtime intelligent control for N (MobiSys 2022),Towards Seamless 5G Open-RAN Integration with WebAssembly,2024,ACM Workshop on Hot Topics in Networks,10.1145/3696348.3696864,10,no,Raphael Cannatà; Haoxin Sun; Dan Mihai Dumitriu; Haitham Hassanieh,,,SemanticScholar
Realtime intelligent control for N (MobiSys 2022),Field Evaluation of a Softwarized Modem From the Perspective of 5G Cell Search,2025,IEEE Transactions on Mobile Computing,10.1109/TMC.2025.3526753,4,yes,Dawoon Lim; Subin Jeong; Bitna Kim; Yelan Lee; Hyejin Shin; Juyeop Kim,,,SemanticScholar
Realtime intelligent control for N (MobiSys 2022),the Proceedings of the 21st USENIX Symposium on Networked Systems Design and Implementation.,,,,0,yes,Systems Design; Woo-Hyun Ko; Raini Wu; Srinivas Shakkottai; Ushasi Ghosh; Ujwal Dinesha; Dinesh Bharadia,,,SemanticScholar
Novel rate matching scheme for dow (COMSNETS 2018),Scheduling and Decoding of Downlink Control Channel in 3GPP Narrowband-IoT,2020,IEEE Access,10.1109/ACCESS.2020.3026077,6,yes,Pavan Reddy Manne; Santosh Ganji; Abhinav Kumar; K. Kuchi,,,SemanticScholar
Novel rate matching scheme for dow (COMSNETS 2018),Design and performance analysis of joint control and shared channel scheduler for downlink in 3GPP narrowband-IoT,2021,Ad Hoc Networks,10.1016/j.adhoc.2021.102440,3,yes,Pavan Reddy M.; Abhinav Kumar; Kiran Kuchi,,,Crossref
Novel rate matching scheme for dow (COMSNETS 2018),Joint Control and Shared Channel Scheduling for Downlink in 3GPP Narrowband-IoT,2020,International Conference on Communication Systems and Networks,10.1109/COMSNETS48256.2020.9027476,1,yes,Pavan Reddy Manne; Abhinav Kumar; K. Kuchi,,,SemanticScholar
Novel rate matching scheme for dow (COMSNETS 2018),Improved Physical Downlink Control Channel for 3GPP Massive Machine Type Communications,2018,International Conference on Communication Systems and Networks,10.1007/978-3-030-10659-1_1,1,yes,M. P. Reddy; G. Santosh; Abhinav Kumar; K. Kuchi,,,SemanticScholar
Seeing the Unseen (ACM S3 Workshop 2023),Seeing the Unseen: The REVEAL Protocol to Expose the Wireless Man-in-the-Middle,2023,IEEE Transactions on Wireless Communications,10.1109/TWC.2024.3451358,2,yes,Santosh Ganji; F. I. P. R. Kumar,,,SemanticScholar
Seeing the Unseen (IEEE TWC 2024),PUF-Based Lightweight Decentralized Authentication for UAV Networks,2026,IEEE Transactions on Mobile Computing,10.1109/TMC.2026.3678164,0,no,Lei Ding; Kaiping Xue; Mingrui Ai; Yingjie Xue; Lutong Chen; Jian Li; David S. L. Wei,,,SemanticScholar
Seeing the Unseen (IEEE TWC 2024),Tobit Recursive Filtering for Networked Nonlinear Systems Against Random Man-in-the-Middle Attacks: An Attack Detection Mechanism,2026,IEEE Transactions on Automation Science and Engineering,10.1109/TASE.2026.3712386,0,no,Jun Hu; Shuo Yang; Xiaojian Yi; Jiaxing Li,,,SemanticScholar
Terra (SIGCOMM'22 Posters),"Survey on Joint Paradigm of 5G and SDN Emerging Mobile Technologies: Architecture, Security, Challenges and Research Directions",2023,Wireless personal communications,10.1007/s11277-023-10402-7,69,no,Syed Hussain Ali Kazmi; Faizan Qamar; R. Hassan; Kashif Nisar; B. S. Chowdhry,,,SemanticScholar
Terra (SIGCOMM'22 Posters),TERRA: Beam Management for Outdoor mm-Wave Networks,2023,IEEE Transactions on Wireless Communications,10.1109/TWC.2024.3425574,6,yes,Santosh Ganji; Jaewon Kim; Romil Sonigra; P. R. Kumar,,,SemanticScholar
Terra (SIGCOMM'22 Posters),CommRad: Context-Aware Sensing-Driven Millimeter-Wave Networks,2024,ACM International Conference on Embedded Networked Sensor Systems,10.1145/3666025.3699363,5,no,I. Jain; Suriyaa Mm; Dinesh Bharadia,,,SemanticScholar
TERRA (IEEE TWC 2024),"Survey on Joint Paradigm of 5G and SDN Emerging Mobile Technologies: Architecture, Security, Challenges and Research Directions",2023,Wireless personal communications,10.1007/s11277-023-10402-7,69,no,Syed Hussain Ali Kazmi; Faizan Qamar; R. Hassan; Kashif Nisar; B. S. Chowdhry,,,SemanticScholar
TERRA (IEEE TWC 2024),Generalizable and Robust Beam Prediction for 6G Networks: An Deep-Learning Framework With Positioning Feature Fusion,2026,IEEE Transactions on Network Science and Engineering,10.1109/TNSE.2026.3695479,5,no,Yanliang Jin; Yunfan Li; J. Jun; Yuan Gao; Shengli Liu; Jianbo Du; Zhaohui Yang; Shugong Xu,,,SemanticScholar
TERRA (IEEE TWC 2024),Multi-Modal Data Driven Virtual Base Station Construction for Massive MIMO Beam Alignment,2026,IEEE Wireless Communications and Networking Conference,10.1109/WCNC65185.2026.11555232,2,no,Yijie Bian; Wei Guo; Jie-gang Yang; Shenghui Song; Jun Zhang; Shi Jin; K. B. Letaief,,,SemanticScholar
TERRA (IEEE TWC 2024),Multi-Modal Environment-Aware Beam Management for Massive MIMO: A Geometry-Driven Virtual Base Station Framework,2026,,,1,no,Yijie Bian; Wei Guo; Jie Yang; Shenghui Song; Jun Zhang; Shi Jin; K. B. Letaief,,,SemanticScholar
TERRA (IEEE TWC 2024),Distance-Based Multicast Scheduling for mmWave Networks Leveraging Reflections,2025,IEEE Wireless Communications Letters,10.1109/LWC.2025.3612706,1,no,Chao Chen; Yayin Xue; Yue Li; Seung Jun Baek; Xiaohan Yu; Bo Ma; Chuanhuang Li,,,SemanticScholar
TERRA (IEEE TWC 2024),Self-Attention Proximal Policy Optimization for Beam Tracking in mmWave Communications,2026,IEEE Journal on Selected Areas in Communications,10.1109/JSAC.2026.3669465,1,no,Xin Liu; Jie Tan; Xiaoguang Ren; Huadong Dai,,,SemanticScholar
Unblock (COMSNETS 2021),Two beams are better than one: towards reliable and high throughput mmWave links,2021,"Conference on Applications, Technologies, Architectures, and Protocols for Computer Communication",10.1145/3452296.3472924,59,no,I. Jain; Raghav Subbaraman; Dinesh Bharadia,,,SemanticScholar
Unblock (COMSNETS 2021),TERRA: Beam Management for Outdoor mm-Wave Networks,2023,IEEE Transactions on Wireless Communications,10.1109/TWC.2024.3425574,6,yes,Santosh Ganji; Jaewon Kim; Romil Sonigra; P. R. Kumar,,,SemanticScholar
Unblock (COMSNETS 2021),BeamSurfer: Minimalist Beam Management of Mobile mm-Wave Devices,2021,IEEE Transactions on Wireless Communications,10.1109/TWC.2022.3171189,6,yes,V. Siva; Santosh Ganji; Tzu-Hsiang Lin; Francisco A. Espinal; F. I. P. R. Kumar,,,SemanticScholar
Unblock (COMSNETS 2021),Terra: blockage resilience in outdoor mm-wave networks,2022,SIGCOMM Posters and Demos,10.1145/3546037.3546063,3,yes,Santosh Ganji; Jaewon Kim; P. R. Kumar,,,SemanticScholar
Unblock (COMSNETS 2021),Overcoming Pedestrian Blockage in mm-Wave Bands using Ground Reflections,2021,arXiv.org,,2,yes,Santosh Ganji; Romil Sonigra; F. I. P. R. Kumar,,,SemanticScholar
Unblock (COMSNETS 2021),Adaptive Traffic Switching and Splitting Between Sub-THz Microcells and LEO Satellite Links Under Network Dynamics,2026,"International Conference on Communications, Signal Processing, and their Applications",10.1109/ICCSPA69228.2026.11600893,0,no,Abel Calvet; Shuai Nie,,,SemanticScholar
